version,request,ordinal,command_step,pc,address,name,before,after,changed_bits,via
2.02,CR00,1,1339,0x1173,0x003,STATUS,0x18,0x1C,2,alu-flag
2.02,CR00,2,1340,0x1174,0x003,STATUS,0x1C,0x3C,5,direct
2.02,CR01,1,1339,0x1176,0x003,STATUS,0x18,0x1C,2,alu-flag
2.02,CR01,2,1340,0x1177,0x003,STATUS,0x1C,0x3C,5,direct
2.02,CR02,1,1339,0x117A,0x00A,PCLATH,0x13,0x03,4,direct
2.02,CR02,2,1340,0x117B,0x00A,PCLATH,0x03,0x0B,3,direct
2.02,CR02,3,1342,0x0F6E,0x00B,INTCON,0xD4,0x94,6,direct
2.02,CR02,4,1343,0x0F6F,0x00B,INTCON,0x94,0x14,7,direct
2.02,CR02,5,1348,0x0F75,0x008,PORTD,0x04,0x84,7,direct
2.02,CR02,6,1352,0x0F7A,0x008,PORTD,0x84,0xA4,5,direct
2.02,CR02,7,1356,0x0F7F,0x008,PORTD,0xA4,0xC4,"5,6",direct
2.02,CR02,8,1360,0x0F84,0x00B,INTCON,0x14,0xD4,"6,7",direct
2.02,CR02,9,1362,0x117D,0x00A,PCLATH,0x0B,0x1B,4,direct
2.02,CR02,10,1363,0x117E,0x00A,PCLATH,0x1B,0x13,3,direct
2.02,CR02,11,1364,0x117F,0x003,STATUS,0x18,0x38,5,direct
2.02,CR02,12,1365,0x1180,0x003,STATUS,0x38,0x3C,2,alu-flag
2.02,CR02,13,1366,0x1181,0x003,STATUS,0x3C,0x1C,5,direct
2.02,CR02,14,1383,0x11AA,0x003,STATUS,0x1C,0x3C,5,direct
2.02,CR03,1,1339,0x11AC,0x003,STATUS,0x18,0x38,5,direct
2.02,CR03,2,1340,0x11AD,0x003,STATUS,0x38,0x3C,2,alu-flag
2.02,CR03,3,1341,0x11AE,0x003,STATUS,0x3C,0x1C,5,direct
2.02,CR03,4,1350,0x11C3,0x003,STATUS,0x1C,0x3C,5,direct
2.02,CR04,1,1339,0x11C5,0x003,STATUS,0x18,0x38,5,direct
2.02,CR04,2,1341,0x11C7,0x0CD,RAM_0x0CD,0x00,0x41,"0,6",direct
2.02,CR05,1,1339,0x11C9,0x003,STATUS,0x18,0x1C,2,alu-flag
2.02,CR05,2,1340,0x11CA,0x003,STATUS,0x1C,0x3C,5,direct
2.02,CR06,1,1339,0x11CD,0x003,STATUS,0x18,0x38,5,direct
2.02,CR06,2,1340,0x11CE,0x003,STATUS,0x38,0x3C,2,alu-flag
2.02,CR06,3,1341,0x11CF,0x003,STATUS,0x3C,0x1C,5,direct
2.02,CR06,4,1343,0x11D2,0x003,STATUS,0x1C,0x3C,5,direct
2.02,CR06,5,1344,0x11D3,0x0CD,RAM_0x0CD,0x00,0x01,0,direct
2.02,CR06,6,1345,0x11D4,0x003,STATUS,0x3C,0x1C,5,direct
2.02,CR06,7,1347,0x11D7,0x003,STATUS,0x1C,0x3C,5,direct
2.02,CR06,8,1348,0x11D8,0x0CD,RAM_0x0CD,0x01,0x03,1,direct
2.02,CR06,9,1349,0x11D9,0x003,STATUS,0x3C,0x1C,5,direct
2.02,CR06,10,1352,0x11DF,0x003,STATUS,0x1C,0x3C,5,direct
2.02,CR07,1,1340,0x11E2,0x07A,RAM_0x07A,0x00,0x01,0,direct
2.02,CR07,2,1342,0x11E4,0x079,RAM_0x079,0x11,0x68,"0,3,4,5,6",direct
2.02,CR07,3,1343,0x11E5,0x003,STATUS,0x18,0x19,0,alu-flag
2.02,CR07,4,1343,0x11E5,0x07A,RAM_0x07A,0x01,0x00,0,direct
2.02,CR07,5,1344,0x11E6,0x003,STATUS,0x19,0x18,0,alu-flag
2.02,CR07,6,1344,0x11E6,0x079,RAM_0x079,0x68,0xB4,"2,3,4,6,7",direct
2.02,CR07,7,1346,0x11E8,0x079,RAM_0x079,0xB4,0x5A,"1,2,3,5,6,7",direct
2.02,CR07,8,1348,0x11EA,0x079,RAM_0x079,0x5A,0x2D,"0,1,2,4,5,6",direct
2.02,CR07,9,1350,0x11EC,0x003,STATUS,0x18,0x38,5,direct
2.02,CR07,10,1351,0x11ED,0x0CD,RAM_0x0CD,0x00,0x2D,"0,2,3,5",direct
2.02,CR08,1,1340,0x11F0,0x003,STATUS,0x18,0x38,5,direct
2.02,CR08,2,1341,0x11F1,0x0CD,RAM_0x0CD,0x00,0x04,2,direct
2.02,CR09,1,1339,0x11F3,0x003,STATUS,0x18,0x1C,2,alu-flag
2.02,CR09,2,1340,0x11F4,0x003,STATUS,0x1C,0x3C,5,direct
2.02,CR0A,1,1343,0x11F7,0x003,STATUS,0x18,0x1C,2,alu-flag
2.02,CR0A,2,1344,0x11F8,0x003,STATUS,0x1C,0x3C,5,direct
2.02,CR0B,1,1344,0x11FC,0x003,STATUS,0x18,0x38,5,direct
2.02,CR0B,2,1345,0x11FD,0x0CD,RAM_0x0CD,0x00,0x02,1,direct
2.02,CR0C,1,1344,0x1200,0x003,STATUS,0x18,0x38,5,direct
2.02,CR0C,2,1345,0x1201,0x0CD,RAM_0x0CD,0x00,0x02,1,direct
2.06,CR00,1,574,0x1153,0x003,STATUS,0x18,0x1C,2,alu-flag
2.06,CR00,2,575,0x1154,0x003,STATUS,0x1C,0x3C,5,direct
2.06,CR01,1,574,0x1156,0x003,STATUS,0x18,0x1C,2,alu-flag
2.06,CR01,2,575,0x1157,0x003,STATUS,0x1C,0x3C,5,direct
2.06,CR02,1,574,0x115A,0x00A,PCLATH,0x12,0x02,4,direct
2.06,CR02,2,575,0x115B,0x00A,PCLATH,0x02,0x0A,3,direct
2.06,CR02,3,577,0x0EFF,0x00B,INTCON,0xD4,0x94,6,direct
2.06,CR02,4,578,0x0F00,0x00B,INTCON,0x94,0x14,7,direct
2.06,CR02,5,583,0x0F06,0x008,PORTD,0x04,0x84,7,direct
2.06,CR02,6,587,0x0F0B,0x008,PORTD,0x84,0xA4,5,direct
2.06,CR02,7,591,0x0F10,0x008,PORTD,0xA4,0xC4,"5,6",direct
2.06,CR02,8,595,0x0F15,0x00B,INTCON,0x14,0xD4,"6,7",direct
2.06,CR02,9,597,0x115D,0x00A,PCLATH,0x0A,0x1A,4,direct
2.06,CR02,10,598,0x115E,0x00A,PCLATH,0x1A,0x12,3,direct
2.06,CR02,11,599,0x115F,0x003,STATUS,0x18,0x38,5,direct
2.06,CR02,12,600,0x1160,0x003,STATUS,0x38,0x3C,2,alu-flag
2.06,CR02,13,601,0x1161,0x003,STATUS,0x3C,0x1C,5,direct
2.06,CR02,14,618,0x118A,0x003,STATUS,0x1C,0x3C,5,direct
2.06,CR03,1,574,0x118C,0x003,STATUS,0x18,0x38,5,direct
2.06,CR03,2,575,0x118D,0x003,STATUS,0x38,0x3C,2,alu-flag
2.06,CR03,3,576,0x118E,0x003,STATUS,0x3C,0x1C,5,direct
2.06,CR03,4,584,0x11A0,0x003,STATUS,0x1C,0x3C,5,direct
2.06,CR03,5,585,0x11A1,0x0CD,RAM_0x0CD,0x00,0x08,3,direct
2.06,CR03,6,586,0x11A2,0x003,STATUS,0x3C,0x1C,5,direct
2.06,CR03,7,587,0x11A3,0x003,STATUS,0x1C,0x3C,5,direct
2.06,CR04,1,574,0x11A5,0x003,STATUS,0x18,0x38,5,direct
2.06,CR04,2,576,0x11A7,0x0CD,RAM_0x0CD,0x00,0x41,"0,6",direct
2.06,CR05,1,574,0x11A9,0x003,STATUS,0x1A,0x1E,2,alu-flag
2.06,CR05,2,575,0x11AA,0x003,STATUS,0x1E,0x3E,5,direct
2.06,CR06,1,574,0x11AD,0x003,STATUS,0x1A,0x3A,5,direct
2.06,CR06,2,575,0x11AE,0x003,STATUS,0x3A,0x3E,2,alu-flag
2.06,CR06,3,576,0x11AF,0x003,STATUS,0x3E,0x1E,5,direct
2.06,CR06,4,578,0x11B2,0x003,STATUS,0x1E,0x3E,5,direct
2.06,CR06,5,579,0x11B3,0x0CD,RAM_0x0CD,0x00,0x01,0,direct
2.06,CR06,6,580,0x11B4,0x003,STATUS,0x3E,0x1E,5,direct
2.06,CR06,7,582,0x11B7,0x003,STATUS,0x1E,0x3E,5,direct
2.06,CR06,8,583,0x11B8,0x0CD,RAM_0x0CD,0x01,0x03,1,direct
2.06,CR06,9,584,0x11B9,0x003,STATUS,0x3E,0x1E,5,direct
2.06,CR06,10,587,0x11BF,0x003,STATUS,0x1E,0x3E,5,direct
2.06,CR07,1,574,0x11C1,0x003,STATUS,0x1A,0x1B,0,alu-flag
2.06,CR07,2,575,0x11C2,0x07A,RAM_0x07A,0x00,0x02,1,direct
2.06,CR07,3,576,0x11C3,0x003,STATUS,0x1B,0x1A,0,alu-flag
2.06,CR07,4,577,0x11C4,0x079,RAM_0x079,0x24,0x8A,"1,2,3,5,7",direct
2.06,CR07,5,578,0x11C5,0x07A,RAM_0x07A,0x02,0x01,"0,1",direct
2.06,CR07,6,579,0x11C6,0x079,RAM_0x079,0x8A,0x45,"0,1,2,3,6,7",direct
2.06,CR07,7,580,0x11C7,0x003,STATUS,0x1A,0x1B,0,alu-flag
2.06,CR07,8,580,0x11C7,0x07A,RAM_0x07A,0x01,0x00,0,direct
2.06,CR07,9,581,0x11C8,0x079,RAM_0x079,0x45,0xA2,"0,1,2,5,6,7",direct
2.06,CR07,10,582,0x11C9,0x003,STATUS,0x1B,0x1A,0,alu-flag
